q1;q46
Paraguay;4
Colombia;3
Venezuela;1
Venezuela;4
Nicaragua;2
Paraguay;2
Uruguay;4
Nicaragua;1
Chile;3
México;4
Brasil;3
Honduras;2
Costa Rica;4
Brasil;5
República Dominicana;3
El Salvador;3
El Salvador;3
Colombia;2
República Dominicana;3
Guatemala;2
Brasil;1
Colombia;2
Venezuela;1
República Dominicana;1
México;2
Perú;3
El Salvador;3
Costa Rica;3
Ecuador;4
Nicaragua;3
Colombia;2
Brasil;4
Costa Rica;4
Costa Rica;1
Brasil;1
Bolivia;1
Guatemala;3
El Salvador;3
Argentina;1
Colombia;3
Ecuador;2
Ecuador;1
México;3
Argentina;5
Nicaragua;5
Guatemala;1
El Salvador;5
Argentina;3
México;2
Venezuela;3
Bolivia;1
Nicaragua;3
Brasil;3
Colombia;3
Colombia;2
Honduras;2
Paraguay;4
Bolivia;3
Honduras;3
Chile;3
El Salvador;4
Guatemala;2
México;3
Chile;3
Argentina;3
Brasil;3
Ecuador;2
Honduras;5
Perú;2
Ecuador;3
Chile;4
República Dominicana;3
Perú;3
Honduras;2
Colombia;1
Honduras;3
Guatemala;1
Venezuela;3
Chile;2
Brasil;3
Guatemala;4
Guatemala;1
Brasil;2
Perú;4
Brasil;5
El Salvador;3
Argentina;1
El Salvador;3
Colombia;3
México;4
Guatemala;2
Brasil;4
Venezuela;2
Brasil;5
Ecuador;2
República Dominicana;1
Brasil;3
Honduras;3
Costa Rica;1
Nicaragua;3
Guatemala;3
Nicaragua;3
México;3
Nicaragua;2
Paraguay;3
Honduras;1
Colombia;3
Bolivia;1
Ecuador;3
Paraguay;3
Uruguay;4
Brasil;5
Bolivia;3
Honduras;3
Paraguay;4
Honduras;1
Venezuela;1
Chile;5
Venezuela;5
Costa Rica;5
Colombia;3
Uruguay;3
Brasil;4
Nicaragua;5
Uruguay;5
Chile;1
Costa Rica;4
Venezuela;4
Costa Rica;1
Argentina;2
Honduras;1
Brasil;4
Ecuador;1
Guatemala;1
México;4
Colombia;4
Bolivia;2
El Salvador;3
Uruguay;3
Colombia;3
Venezuela;3
República Dominicana;2
Colombia;5
Ecuador;4
Uruguay;3
Bolivia;3
El Salvador;1
Guatemala;3
Honduras;1
Venezuela;3
Chile;3
Nicaragua;4
Colombia;4
República Dominicana;3
Perú;2
Argentina;2
Chile;2
México;3
Venezuela;2
Chile;1
Guatemala;2
Honduras;1
Brasil;5
Nicaragua;3
Bolivia;5
Colombia;2
Paraguay;1
Brasil;3
Uruguay;3
Chile;3
Costa Rica;2
Paraguay;3
República Dominicana;3
Nicaragua;1
Argentina;2
Panamá;3
Chile;3
Venezuela;2
Ecuador;3
República Dominicana;5
Brasil;3
Costa Rica;1
Venezuela;3
Bolivia;5
Venezuela;4
Bolivia;2
Honduras;3
México;3
Paraguay;5
Honduras;3
Uruguay;3
Chile;1
Argentina;3
Nicaragua;2
Bolivia;3
Costa Rica;4
Ecuador;2
Uruguay;2
Venezuela;3
Chile;3
Guatemala;1
Bolivia;2
Colombia;5
Ecuador;1
Chile;5
Nicaragua;3
Colombia;3
Guatemala;3
Venezuela;1
Guatemala;2
Brasil;2
Brasil;5
Puerto Rico;5
Guatemala;3
Guatemala;3
Bolivia;2
Panamá;4
Honduras;3
Ecuador;5
Puerto Rico;4
Brasil;3
Chile;5
Costa Rica;5
Guatemala;1
Guatemala;3
Guatemala;3
México;3
Nicaragua;2
Venezuela;3
Brasil;2
Colombia;4
El Salvador;3
Costa Rica;3
Paraguay;1
Nicaragua;1
Brasil;4
México;4
República Dominicana;2
México;5
Costa Rica;5
Brasil;3
Honduras;3
Uruguay;1
Chile;5
Panamá;1
Honduras;2
Argentina;4
Colombia;3
Panamá;2
Ecuador;2
Argentina;3
Chile;4
Brasil;1
Guatemala;1
Brasil;5
Venezuela;1
Argentina;3
México;4
República Dominicana;4
Chile;3
Paraguay;2
Guatemala;3
Chile;1
Colombia;3
Brasil;3
Ecuador;2
Costa Rica;3
Costa Rica;3
Perú;3
Colombia;5
Costa Rica;1
Colombia;1
Ecuador;3
México;4
Paraguay;3
Ecuador;3
Nicaragua;4
Honduras;3
Argentina;5
Guatemala;3
El Salvador;3
República Dominicana;4
Brasil;2
Ecuador;3
Costa Rica;4
México;2
Argentina;1
Ecuador;4
Bolivia;3
El Salvador;1
Honduras;3
Ecuador;3
Perú;1
Chile;3
Argentina;1
República Dominicana;3
Nicaragua;3
Uruguay;3
Brasil;4
Costa Rica;5
República Dominicana;3
Paraguay;3
Nicaragua;1
Chile;3
Perú;1
Brasil;5
El Salvador;2
Colombia;3
México;3
México;2
República Dominicana;3
Venezuela;3
Honduras;2
Argentina;5
Honduras;1
Colombia;2
